atomic_num,symbol,name,name_origin,group,period,atomic_weight,atomic_wt_is_mass_number_of_longest_lived_isotope,specific_heat_capacity_J_per_gK,density_g_per_cm3,density_is_estimated,melting_point_k,melt_is_estimated,boiling_point_k,boil_is_estimated,electronegativity,abundance_mg_per_kg,abundance_is_upper_limit
1,H,Hydrogen,the Greek 'hydro' and 'genes' meaning water-forming,1,1,1.0082,0,14.304,0.00008988,0,14.01,0,20.28,0,2.2,1400,0
2,He,Helium,the Greek 'helios' meaning sun,18,1,4.002602,0,5.193,0.0001785,0,0.956,0,4.22,0,,0.008,0
3,Li,Lithium,the Greek 'lithos' meaning stone,1,2,6.942,0,3.582,0.534,0,453.69,0,1560,0,0.98,20,0
4,Be,Beryllium,"the Greek name for beryl, 'beryllo'",2,2,9.012182,0,1.825,1.85,0,1560,0,2742,0,1.57,2.8,0
5,B,Boron,"the Arabic 'buraq', which was the name for borax",13,2,10.81,0,1.026,2.34,0,2349,0,4200,0,2.04,10,0
6,C,Carbon,"the Latin 'carbo', meaning charcoal",14,2,12.011,0,0.709,2.267,0,3800,0,4300,0,2.55,200,0
7,N,Nitrogen,the Greek 'nitron' and 'genes' meaning nitre-forming,15,2,14.007,0,1.04,0.0012506,0,63.15,0,77.36,0,3.04,19,0
8,O,Oxygen,the Greek 'oxy' and 'genes' meaning acid-forming,16,2,15.999,0,0.918,0.001429,0,54.36,0,90.2,0,3.44,461000,0
9,F,Fluorine,"the Latin 'fluere', meaning to flow",17,2,18.9984032,0,0.824,0.001696,0,53.53,0,85.03,0,3.98,585,0
10,Ne,Neon,"the Greek 'neos', meaning new",18,2,20.1797,0,1.03,0.0008999,0,24.56,0,27.07,0,,0.005,0
11,Na,Sodium,the English word soda (natrium in Latin)[2],1,3,22.98976928,0,1.228,0.971,0,370.87,0,1156,0,0.93,23600,0
12,Mg,Magnesium,"Magnesia, a district of Eastern Thessaly in Greece",2,3,24.305,0,1.023,1.738,0,923,0,1363,0,1.31,23300,0
13,Al,Aluminium,"the Latin name for alum, 'alumen' meaning bitter salt",13,3,26.9815386,0,0.897,2.698,0,933.47,0,2792,0,1.61,82300,0
14,Si,Silicon,"the Latin 'silex' or 'silicis', meaning flint",14,3,28.085,0,0.705,2.3296,0,1687,0,3538,0,1.9,282000,0
15,P,Phosphorus,"the Greek 'phosphoros', meaning bringer of light",15,3,30.973762,0,0.769,1.82,0,317.3,0,550,0,2.19,1050,0
