"atomic_num","symbol","name","name_origin","period","atomic_weight","atomic_wt_is_mass_number_of_longest_lived_isotope","specific_heat_capacity_j_per_gk","density_g_per_cm3","density_is_estimated","melting_point_k","melt_is_estimated","boiling_point_k","boil_is_estimated","electronegativity","abundance_mg_per_kg","abundance_is_upper_limit","grouplin"
1,"H","Hydrogen","the Greek 'hydro' and 'genes' meaning water-forming",1,1.008,FALSE,14.304,0.00008988,FALSE,14.01,FALSE,20.28,FALSE,2.2,1400,FALSE,1
2,"He","Helium","the Greek 'helios' meaning sun",1,4.002602,FALSE,5.193,0.0001785,FALSE,0.956,FALSE,4.22,FALSE,,0.008,FALSE,2
3,"Li","Lithium","the Greek 'lithos' meaning stone",2,6.942,FALSE,3.582,0.534,FALSE,453.69,FALSE,1560,FALSE,0.98,20,FALSE,1
4,"Be","Beryllium","the Greek name for beryl, 'beryllo'",2,9.012182,FALSE,1.825,1.85,FALSE,1560,FALSE,2742,FALSE,1.57,2.8,FALSE,2
5,"B","Boron","the Arabic 'buraq', which was the name for borax",2,10.81,FALSE,1.026,2.34,FALSE,2349,FALSE,4200,FALSE,2.04,10,FALSE,27
6,"C","Carbon","the Latin 'carbo', meaning charcoal",2,12.011,FALSE,0.709,2.267,FALSE,3800,FALSE,4300,FALSE,2.55,200,FALSE,28
7,"N","Nitrogen","the Greek 'nitron' and 'genes' meaning nitre-forming",2,14.007,FALSE,1.04,0.0012506,FALSE,63.15,FALSE,77.36,FALSE,3.04,19,FALSE,29
8,"O","Oxygen","the Greek 'oxy' and 'genes' meaning acid-forming",2,15.999,FALSE,0.918,0.001429,FALSE,54.36,FALSE,90.2,FALSE,3.44,461000,FALSE,30
9,"F","Fluorine","the Latin 'fluere', meaning to flow",2,18.9984032,FALSE,0.824,0.001696,FALSE,53.53,FALSE,85.03,FALSE,3.98,585,FALSE,31
10,"Ne","Neon","the Greek 'neos', meaning new",2,20.1797,FALSE,1.03,0.0008999,FALSE,24.56,FALSE,27.07,FALSE,,0.005,FALSE,32
11,"Na","Sodium","the English word soda (natrium in Latin)[2]",3,22.98976928,FALSE,1.228,0.971,FALSE,370.87,FALSE,1156,FALSE,0.93,23600,FALSE,1
12,"Mg","Magnesium","Magnesia, a district of Eastern Thessaly in Greece",3,24.305,FALSE,1.023,1.738,FALSE,923,FALSE,1363,FALSE,1.31,23300,FALSE,2
13,"Al","Aluminum","the Latin name for alum, 'alumen' meaning bitter salt",3,26.9815386,FALSE,0.897,2.698,FALSE,933.47,FALSE,2792,FALSE,1.61,82300,FALSE,27
14,"Si","Silicon","the Latin 'silex' or 'silicis', meaning flint",3,28.085,FALSE,0.705,2.3296,FALSE,1687,FALSE,3538,FALSE,1.9,282000,FALSE,28
15,"P","Phosphorus","the Greek 'phosphoros', meaning bringer of light",3,30.973762,FALSE,0.769,1.82,FALSE,317.3,FALSE,550,FALSE,2.19,1050,FALSE,29
16,"S","Sulfur","Either from the Sanskrit 'sulvere', or the Latin 'sulfurium', both names for sulfur",3,32.06,FALSE,0.71,2.067,FALSE,388.36,FALSE,717.87,FALSE,2.58,350,FALSE,30
17,"Cl","Chlorine","the Greek 'chloros', meaning greenish yellow",3,35.45,FALSE,0.479,0.003214,FALSE,171.6,FALSE,239.11,FALSE,3.16,145,FALSE,31
18,"Ar","Argon","the Greek, 'argos', meaning idle",3,39.948,FALSE,0.52,0.0017837,FALSE,83.8,FALSE,87.3,FALSE,,3.5,FALSE,32
19,"K","Potassium","the English word potash (kalium in Latin)[2]",4,39.0983,FALSE,0.757,0.862,FALSE,336.53,FALSE,1032,FALSE,0.82,20900,FALSE,1
20,"Ca","Calcium","the Latin 'calx' meaning lime",4,40.078,FALSE,0.647,1.54,FALSE,1115,FALSE,1757,FALSE,1,41500,FALSE,2
21,"Sc","Scandium","Scandinavia (with the Latin name Scandia)",4,44.955912,FALSE,0.568,2.989,FALSE,1814,FALSE,3109,FALSE,1.36,22,FALSE,17
22,"Ti","Titanium","Titans, the sons of the Earth goddess of Greek mythology",4,47.867,FALSE,0.523,4.54,FALSE,1941,FALSE,3560,FALSE,1.54,5650,FALSE,18
23,"V","Vanadium","Vanadis, an old Norse name for the Scandinavian goddess Freyja",4,50.9415,FALSE,0.489,6.11,FALSE,2183,FALSE,3680,FALSE,1.63,120,FALSE,19
24,"Cr","Chromium","the Greek 'chroma', meaning colour",4,51.9961,FALSE,0.449,7.15,FALSE,2180,FALSE,2944,FALSE,1.66,102,FALSE,20
25,"Mn","Manganese","Either the Latin 'magnes', meaning magnet or from the black magnesium oxide, 'magnesia nigra'",4,54.938045,FALSE,0.479,7.44,FALSE,1519,FALSE,2334,FALSE,1.55,950,FALSE,21
26,"Fe","Iron","the Anglo-Saxon name iren (ferrum in Latin)",4,55.845,FALSE,0.449,7.874,FALSE,1811,FALSE,3134,FALSE,1.83,56300,FALSE,22
27,"Co","Cobalt","the German word 'kobald', meaning goblin",4,58.933195,FALSE,0.421,8.86,FALSE,1768,FALSE,3200,FALSE,1.88,25,FALSE,23
28,"Ni","Nickel","the shortened of the German 'kupfernickel' meaning either devil's copper or St. Nicholas's copper",4,58.6934,FALSE,0.444,8.912,FALSE,1728,FALSE,3186,FALSE,1.91,84,FALSE,24
29,"Cu","Copper","the Old English name coper in turn derived from the Latin 'Cyprium aes', meaning a metal from Cyprus",4,63.546,FALSE,0.385,8.96,FALSE,1357.77,FALSE,2835,FALSE,1.9,60,FALSE,25
30,"Zn","Zinc","the German, 'zinc', which may in turn be derived from the Persian word 'sing', meaning stone",4,65.38,FALSE,0.388,7.134,FALSE,692.88,FALSE,1180,FALSE,1.65,70,FALSE,26
31,"Ga","Gallium","France (with the Latin name Gallia)",4,69.723,FALSE,0.371,5.907,FALSE,302.9146,FALSE,2477,FALSE,1.81,19,FALSE,27
32,"Ge","Germanium","Germany (with the Latin name Germania)",4,72.63,FALSE,0.32,5.323,FALSE,1211.4,FALSE,3106,FALSE,2.01,1.5,FALSE,28
33,"As","Arsenic","the Greek name 'arsenikon' for the yellow pigment orpiment",4,74.9216,FALSE,0.329,5.776,FALSE,1090,FALSE,887,FALSE,2.18,1.8,FALSE,29
34,"Se","Selenium","Moon (with the Greek name selene)",4,78.96,FALSE,0.321,4.809,FALSE,453,FALSE,958,FALSE,2.55,0.05,FALSE,30
35,"Br","Bromine","the Greek 'bromos' meaning stench",4,79.9049,FALSE,0.474,3.122,FALSE,265.8,FALSE,332,FALSE,2.96,2.4,FALSE,31
36,"Kr","Krypton","the Greek 'kryptos', meaning hidden",4,83.798,FALSE,0.248,0.003733,FALSE,115.79,FALSE,119.93,FALSE,3,0.001,TRUE,32
37,"Rb","Rubidium","the Latin 'rubidius', meaning deepest red",5,85.4678,FALSE,0.363,1.532,FALSE,312.46,FALSE,961,FALSE,0.82,90,FALSE,1
38,"Sr","Strontium","Strontian, a small town in Scotland",5,87.62,FALSE,0.301,2.64,FALSE,1050,FALSE,1655,FALSE,0.95,370,FALSE,2
39,"Y","Yttrium","Ytterby, Sweden",5,88.90585,FALSE,0.298,4.469,FALSE,1799,FALSE,3609,FALSE,1.22,33,FALSE,17
40,"Zr","Zirconium","the Persian 'zargun', meaning gold coloured",5,91.224,FALSE,0.278,6.506,FALSE,2128,FALSE,4682,FALSE,1.33,165,FALSE,18
41,"Nb","Niobium","Niobe, daughter of king Tantalus from Greek mythology",5,92.90638,FALSE,0.265,8.57,FALSE,2750,FALSE,5017,FALSE,1.6,20,FALSE,19
42,"Mo","Molybdenum","the Greek 'molybdos' meaning lead",5,95.96,FALSE,0.251,10.22,FALSE,2896,FALSE,4912,FALSE,2.16,1.2,FALSE,20
43,"Tc","Technetium","the Greek 'tekhnetos' meaning artificial",5,98,TRUE,,11.5,FALSE,2430,FALSE,4538,FALSE,1.9,0.001,TRUE,21
44,"Ru","Ruthenium","Russia (with the Latin name Ruthenia)",5,101.07,FALSE,0.238,12.37,FALSE,2607,FALSE,4423,FALSE,2.2,0.001,FALSE,22
45,"Rh","Rhodium","the Greek 'rhodon', meaning rose coloured",5,102.9055,FALSE,0.243,12.41,FALSE,2237,FALSE,3968,FALSE,2.28,0.001,FALSE,23
46,"Pd","Palladium","the then recently-discovered asteroid Pallas, considered a planet at the time",5,106.42,FALSE,0.244,12.02,FALSE,1828.05,FALSE,3236,FALSE,2.2,0.015,FALSE,24
47,"Ag","Silver","the Anglo-Saxon name siolfur (argentum in Latin)[2]",5,107.8682,FALSE,0.235,10.501,FALSE,1234.93,FALSE,2435,FALSE,1.93,0.075,FALSE,25
48,"Cd","Cadmium","the Latin name for the mineral calmine, 'cadmia'",5,112.411,FALSE,0.232,8.69,FALSE,594.22,FALSE,1040,FALSE,1.69,0.159,FALSE,26
49,"In","Indium","the Latin 'indicium', meaning violet or indigo",5,114.818,FALSE,0.233,7.31,FALSE,429.75,FALSE,2345,FALSE,1.78,0.25,FALSE,27
50,"Sn","Tin","the Anglo-Saxon word tin (stannum in Latin, meaning hard)",5,118.71,FALSE,0.228,7.287,FALSE,505.08,FALSE,2875,FALSE,1.96,2.3,FALSE,28
51,"Sb","Antimony","the Greek 'anti + monos', meaning not alone (stibium in Latin)",5,121.76,FALSE,0.207,6.685,FALSE,903.78,FALSE,1860,FALSE,2.05,0.2,FALSE,29
