element_id,orbital_id,count
1,1,1
2,1,2
3,2,1
4,2,2
5,2,2
5,3,1
6,2,2
6,3,2
7,2,2
7,3,3
8,2,2
8,3,4
9,2,2
9,3,5
10,2,2
10,3,6
11,4,1
12,4,2
13,4,2
13,5,1
14,4,2
14,5,2
15,4,2
15,5,3
16,4,2
16,5,4
17,4,2
17,5,5
18,4,2
18,5,6
19,6,1
20,6,2
21,6,2
21,7,1
22,6,2
22,7,2
23,6,2
23,7,3
24,6,1
24,7,5
25,6,2
25,7,5
26,6,2
26,7,6
27,6,2
27,7,7
28,6,2
28,7,8
29,6,1
29,7,10
30,6,2
30,7,10
31,6,2
31,7,10
31,8,1
32,6,2
32,7,10
32,8,2
33,6,2
33,7,10
33,8,3
34,6,2
34,7,10
34,8,4
35,6,2
35,7,10
35,8,5
36,6,2
36,7,10
36,8,6
37,9,1
38,9,2
39,9,2
39,10,1
40,9,2
40,10,2
41,9,2
41,10,3
42,9,1
42,10,5
43,9,2
43,10,5
44,9,2
44,10,6
45,9,2
45,10,7
46,9,2
46,10,8
47,9,1
47,10,10
48,9,2
48,10,10
49,9,2
49,10,10
49,11,1
50,9,2
50,10,10
50,11,2
51,9,2
51,10,10
51,11,3
52,9,2
52,10,10
52,11,4
53,9,2
53,10,10
53,11,5
54,9,2
54,10,10
54,11,6
55,12,1
56,12,2
57,12,2
57,14,1
58,12,2
58,13,1
58,14,1
59,12,2
59,13,3
60,12,2
60,13,4
61,12,2
61,13,5
62,12,2
62,13,6
63,12,2
63,13,7
64,12,2
64,13,7
64,14,1
65,12,2
65,13,9
66,12,2
66,13,10
67,12,2
67,13,11
68,12,2
68,13,12
69,12,2
69,13,13
70,12,2
70,13,14
71,12,2
71,13,14
71,14,1
72,12,2
72,13,14
72,14,2
73,12,2
73,13,14
73,14,3
74,12,2
74,13,14
74,14,4
75,12,2
75,13,14
75,14,5
76,12,2
76,13,14
76,14,6
77,12,2
77,13,14
77,14,7
78,12,1
78,13,14
78,14,9
79,12,1
79,13,14
79,14,10
80,12,2
80,13,14
80,14,10
81,12,2
81,13,14
81,14,10
81,15,1
82,12,2
82,13,14
82,14,10
82,15,2
83,12,2
83,13,14
83,14,10
83,15,3
84,12,2
84,13,14
84,14,10
84,15,4
85,12,2
85,13,14
85,14,10
85,15,5
86,12,2
86,13,14
86,14,10
86,15,6
87,16,1
88,16,2
89,16,2
89,18,1
90,16,2
90,18,2
91,16,2
91,17,2
91,18,1
92,16,2
92,17,3
92,18,1
93,16,2
93,17,4
93,18,1
94,16,2
94,17,6
95,16,2
95,17,7
96,16,2
96,17,7
96,18,1
97,16,2
97,17,9
98,16,2
98,17,10
99,16,2
99,17,11
100,16,2
100,17,12
101,16,2
101,17,13
102,16,2
102,17,14
103,16,2
103,17,14
103,19,1
104,16,2
104,17,14
104,18,2
105,16,2
105,17,14
105,18,3
106,16,2
106,17,14
106,18,4
107,16,2
107,17,14
107,18,5
108,16,2
108,17,14
108,18,6
109,16,2
109,17,14
109,18,7
110,16,1
110,17,14
110,18,9
111,16,1
111,17,14
111,18,10
112,16,2
112,17,14
112,18,10
113,16,2
113,17,14
113,18,10
113,19,1
114,16,2
114,17,14
114,18,10
114,19,2
115,16,2
115,17,14
115,18,10
115,19,3
116,16,2
116,17,14
116,18,10
116,19,4
117,16,2
117,17,14
117,18,10
117,19,5
118,16,2
118,17,14
118,18,10
118,19,6
